7/11/2011;Sebastian Korda;Ben Shelton;Hierba;6-3;6-7;3-6;8;6
27/3/2019;Benjamin Bonzi;Sebastian Baez;Hierba;6-7;6-3;4-6;8;10
17/1/2016;John Isner;Christopher O'Connell;Tierra;6-4;1-6;4-6;12;13
26/3/2019;Daniel Altmaier;Hubert Hurkacz;Hierba;6-7;6-2;6-3;6;6
28/11/2017;Jack Draper;Nikoloz Basilashvili;Dura;6-4;6-7;6-3;8;10
10/8/2017;Miomir Kecmanovic;Roman Safiullin;Hierba;6-1;6-7;6-7;11;12
13/8/2019;Marton Fucsovics;Gregoire Barrere;Hierba;6-2;6-4;0-0;13;5
13/12/2014;Ugo Humbert;Pedro Martínez;Tierra;6-7;6-2;2-6;8;10
9/7/2020;Adrian Mannarino;Botic Van de Zandschulp;Dura;1-6;1-6;0-0;3;5
21/10/2013;Jordan Thompson;Quentin Halys;Dura;6-7;6-0;3-6;19;1
26/8/2017;Tommy Paul;Novak Djokovic;Dura;4-6;4-6;0-0;7;22
22/6/2019;Lorenzo Sonego;Roman Safiullin;Tierra;3-6;6-7;0-0;6;7
23/4/2013;Roman Safiullin;Carlos Alcaraz;Hierba;6-7;6-7;0-0;16;14
19/6/2010;Tomas Martin Etcheverry;Cristian Garín;Tierra;6-3;4-6;6-7;11;13
25/10/2012;Arthur Rinderknech;Richard Gasquet;Dura;6-4;3-6;6-0;8;7
9/9/2016;Cristian Garín;Alex de Miñaur;Tierra;3-6;0-6;0-0;13;7
18/7/2018;Lorenzo Musetti;Roman Safiullin;Hierba;6-4;6-2;0-0;16;6
14/10/2012;Jenson Brooksby;Alex de Miñaur;Dura;7-6;6-3;0-0;5;8
18/6/2011;Filip Krajinovic;Diego Schwartzman;Hierba;6-7;6-4;4-6;20;12
16/4/2012;Alexander Zverev;Emil Ruusuvuori;Dura;7-6;6-3;0-0;9;3
26/2/2012;Constant Lestienne;Federico Coria;Tierra;7-6;2-6;7-6;10;7
1/8/2020;Jaume Munar;Grigor Dimitrov;Hierba;6-3;7-6;0-0;9;14
1/4/2014;Mikael Ymer;Mikael Ymer;Tierra;7-6;3-6;6-1;3;5
28/3/2012;Nuno Borges;Fabio Fognini;Tierra;4-6;4-6;0-0;15;13
23/9/2011;Daniil Medvedev;Soon Woo Kwon;Tierra;6-4;6-2;0-0;4;3
6/12/2020;Aslan Karatsev;Albert Ramos Viñolas;Tierra;6-4;6-3;0-0;11;6
9/12/2012;J.J. Wolf;Alexander Bublik;Dura;6-3;6-7;6-7;11;9
17/11/2018;Bernabé Zapata Miralles;Alejandro Davidovich Fokina;Tierra;4-6;6-4;6-1;10;7
3/5/2016;Denis Shapovalov;Yoshihito Nishioka;Tierra;6-4;4-6;6-7;12;12
7/5/2010;Gael Monfils;Laslo Djere;Dura;2-6;6-4;6-2;13;13
21/11/2016;Diego Schwartzman;Richard Gasquet;Dura;2-6;4-6;0-0;19;10
11/12/2012;David Goffin;Maxime Cressy;Hierba;3-6;6-2;6-7;9;10
28/4/2015;Taro Daniel;Christopher O'Connell;Hierba;6-2;6-4;0-0;8;9
2/9/2012;Casper Ruud;Arthur Rinderknech;Dura;7-6;6-7;6-4;13;1
12/8/2013;Lorenzo Musetti;Ben Shelton;Tierra;1-6;2-6;0-0;8;19
2/1/2020;Karen Khachanov;Jaume Munar;Dura;6-2;4-6;2-6;12;2
13/8/2014;Jack Draper;Quentin Halys;Hierba;4-6;7-6;6-7;11;10
12/12/2010;Jenson Brooksby;Roman Safiullin;Tierra;3-6;3-6;0-0;16;20
16/8/2019;Christopher O'Connell;Holger Rune;Tierra;6-7;2-6;0-0;12;6
25/12/2013;Pavel Kotov;Roberto Carballés Baena;Dura;6-7;7-6;4-6;9;5
23/6/2013;Jordan Thompson;Thanasi Kokkinakis;Tierra;4-6;0-6;0-0;11;13
6/7/2014;Botic Van de Zandschulp;Roberto Carballés Baena;Tierra;4-6;3-6;0-0;18;8
4/1/2018;Ugo Humbert;Marin Cilic;Hierba;4-6;6-4;6-7;11;11
2/12/2020;Carlos Alcaraz;Taylor Fritz;Tierra;7-6;3-6;2-6;13;8
8/2/2020;Jaume Munar;Andrey Rublev;Dura;6-7;6-3;2-6;15;8
15/1/2016;Benjamin Bonzi;Diego Schwartzman;Dura;7-6;7-6;0-0;16;15
25/10/2014;Felix Auger-Aliassime;Albert Ramos Viñolas;Tierra;6-3;2-6;4-6;12;12
10/11/2011;John Isner;Sebastian Korda;Hierba;3-6;6-7;0-0;12;10
20/7/2018;Vasek Pospisil;Ben Shelton;Hierba;4-6;6-4;6-4;2;17
21/7/2012;Pavel Kotov;Alex Molcan;Tierra;6-4;6-4;0-0;17;12
24/10/2012;Nick Kyrgios;Richard Gasquet;Tierra;4-6;6-7;0-0;7;16
24/1/2020;Tomas Martin Etcheverry;Vasek Pospisil;Tierra;2-6;2-6;0-0;16;11
12/10/2017;Daniel Elahi Galán;Roberto Carballés Baena;Tierra;6-7;6-2;6-3;9;2
26/1/2014;Alexander Bublik;Bernabé Zapata Miralles;Tierra;6-3;4-6;6-2;11;13
17/2/2016;Borna Coric;Gael Monfils;Dura;4-6;6-7;0-0;7;9
26/3/2014;Nick Kyrgios;Federico Coria;Dura;6-7;3-6;0-0;8;7
24/3/2013;Pavel Kotov;Casper Ruud;Tierra;6-2;7-6;0-0;8;5
